Using device: cuda
Epoch [1/100] | Train Loss: 2.3287, Train Acc: 10.07% | Test Loss: 2.3189, Test Acc: 9.95% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.3214, Train Acc: 10.08% | Test Loss: 2.3155, Test Acc: 10.31% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.3140, Train Acc: 10.24% | Test Loss: 2.3084, Test Acc: 10.45% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.3075, Train Acc: 10.36% | Test Loss: 2.3018, Test Acc: 10.50% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 2.3010, Train Acc: 10.55% | Test Loss: 2.2955, Test Acc: 10.69% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 2.2953, Train Acc: 10.86% | Test Loss: 2.2894, Test Acc: 11.03% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 2.2898, Train Acc: 11.40% | Test Loss: 2.2838, Test Acc: 11.61% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 2.2847, Train Acc: 11.95% | Test Loss: 2.2784, Test Acc: 11.95% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 2.2795, Train Acc: 12.45% | Test Loss: 2.2733, Test Acc: 12.54% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 2.2748, Train Acc: 13.00% | Test Loss: 2.2682, Test Acc: 13.12% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 2.2699, Train Acc: 13.54% | Test Loss: 2.2631, Test Acc: 13.94% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 2.2658, Train Acc: 14.20% | Test Loss: 2.2587, Test Acc: 14.54% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.2612, Train Acc: 14.87% | Test Loss: 2.2543, Test Acc: 15.01% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 2.2572, Train Acc: 15.33% | Test Loss: 2.2499, Test Acc: 15.70% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 2.2533, Train Acc: 15.74% | Test Loss: 2.2455, Test Acc: 16.31% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 2.2496, Train Acc: 16.21% | Test Loss: 2.2417, Test Acc: 16.77% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 2.2456, Train Acc: 16.74% | Test Loss: 2.2375, Test Acc: 17.17% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 2.2422, Train Acc: 17.03% | Test Loss: 2.2331, Test Acc: 17.64% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 2.2389, Train Acc: 17.32% | Test Loss: 2.2294, Test Acc: 17.93% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 2.2351, Train Acc: 17.81% | Test Loss: 2.2257, Test Acc: 18.32% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 2.2317, Train Acc: 18.00% | Test Loss: 2.2221, Test Acc: 18.66% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 2.2283, Train Acc: 18.36% | Test Loss: 2.2182, Test Acc: 19.04% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 2.2250, Train Acc: 18.65% | Test Loss: 2.2143, Test Acc: 19.36% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 2.2214, Train Acc: 18.64% | Test Loss: 2.2110, Test Acc: 19.56% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 2.2184, Train Acc: 18.97% | Test Loss: 2.2081, Test Acc: 19.81% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: 2.2152, Train Acc: 19.07% | Test Loss: 2.2041, Test Acc: 20.01% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: 2.2118, Train Acc: 19.48% | Test Loss: 2.2006, Test Acc: 20.25% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: 2.2089, Train Acc: 19.52% | Test Loss: 2.1976, Test Acc: 20.38% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: 2.2060, Train Acc: 19.62% | Test Loss: 2.1944, Test Acc: 20.57% | Best Acc: 0.00%
Epoch [30/100] | Train Loss: 2.2030, Train Acc: 19.89% | Test Loss: 2.1908, Test Acc: 20.74% | Best Acc: 0.00%
Epoch [31/100] | Train Loss: 2.2004, Train Acc: 19.96% | Test Loss: 2.1883, Test Acc: 20.85% | Best Acc: 0.00%
Epoch [32/100] | Train Loss: 2.1973, Train Acc: 20.09% | Test Loss: 2.1852, Test Acc: 20.97% | Best Acc: 0.00%
