Using device: cuda
Epoch [1/100] | Train Loss: 2.2566, Train Acc: 15.71% | Test Loss: 2.2161, Test Acc: 18.50% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.1430, Train Acc: 24.61% | Test Loss: 2.0851, Test Acc: 27.14% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.0656, Train Acc: 27.69% | Test Loss: 2.0171, Test Acc: 28.71% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.0065, Train Acc: 29.14% | Test Loss: 1.9637, Test Acc: 29.76% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 1.9590, Train Acc: 30.55% | Test Loss: 1.9205, Test Acc: 30.94% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 1.9179, Train Acc: 31.79% | Test Loss: 1.8779, Test Acc: 32.68% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 1.8806, Train Acc: 32.96% | Test Loss: 1.8440, Test Acc: 34.11% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 1.8440, Train Acc: 34.47% | Test Loss: 1.8041, Test Acc: 35.29% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 1.8112, Train Acc: 35.41% | Test Loss: 1.7697, Test Acc: 36.44% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 1.7785, Train Acc: 36.41% | Test Loss: 1.7437, Test Acc: 37.30% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 1.7490, Train Acc: 37.38% | Test Loss: 1.7048, Test Acc: 38.36% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 1.7210, Train Acc: 38.39% | Test Loss: 1.6814, Test Acc: 39.06% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 1.6932, Train Acc: 39.32% | Test Loss: 1.6517, Test Acc: 39.69% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 1.6686, Train Acc: 39.70% | Test Loss: 1.6294, Test Acc: 40.01% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 1.6446, Train Acc: 40.82% | Test Loss: 1.6368, Test Acc: 40.12% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 1.6232, Train Acc: 41.47% | Test Loss: 1.5873, Test Acc: 41.84% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 1.6015, Train Acc: 42.29% | Test Loss: 1.5737, Test Acc: 42.55% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 1.5859, Train Acc: 42.81% | Test Loss: 1.5825, Test Acc: 41.69% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 1.5641, Train Acc: 43.57% | Test Loss: 1.5843, Test Acc: 41.76% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 1.5482, Train Acc: 44.12% | Test Loss: 1.8392, Test Acc: 36.17% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 1.5321, Train Acc: 44.71% | Test Loss: 1.5183, Test Acc: 44.38% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 1.5147, Train Acc: 45.42% | Test Loss: 1.5428, Test Acc: 43.54% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 1.5001, Train Acc: 46.01% | Test Loss: 1.4621, Test Acc: 46.52% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 1.4824, Train Acc: 46.54% | Test Loss: 1.4928, Test Acc: 45.63% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 1.4712, Train Acc: 46.95% | Test Loss: 1.5415, Test Acc: 44.48% | Best Acc: 0.00%
