Using device: cuda
Epoch [1/100] | Train Loss: 1.9278, Train Acc: 28.63% | Test Loss: 2.1878, Test Acc: 24.84% | Best Acc: 24.84%
Epoch [2/100] | Train Loss: 1.7335, Train Acc: 35.41% | Test Loss: 1.7717, Test Acc: 34.16% | Best Acc: 34.16%
Epoch [3/100] | Train Loss: 1.6602, Train Acc: 38.18% | Test Loss: 1.5501, Test Acc: 43.15% | Best Acc: 43.15%
Epoch [4/100] | Train Loss: 1.6086, Train Acc: 40.37% | Test Loss: 1.7308, Test Acc: 37.36% | Best Acc: 43.15%
Epoch [5/100] | Train Loss: 1.5674, Train Acc: 42.16% | Test Loss: 1.6733, Test Acc: 38.82% | Best Acc: 43.15%
Epoch [6/100] | Train Loss: 1.5372, Train Acc: 43.85% | Test Loss: 1.7442, Test Acc: 38.16% | Best Acc: 43.15%
Epoch [7/100] | Train Loss: 1.5044, Train Acc: 45.03% | Test Loss: 1.5382, Test Acc: 44.91% | Best Acc: 44.91%
Epoch [8/100] | Train Loss: 1.4764, Train Acc: 45.98% | Test Loss: 2.4959, Test Acc: 31.98% | Best Acc: 44.91%
Epoch [9/100] | Train Loss: 1.4531, Train Acc: 47.30% | Test Loss: 1.6637, Test Acc: 41.97% | Best Acc: 44.91%
Epoch [10/100] | Train Loss: 1.4515, Train Acc: 47.10% | Test Loss: 1.6298, Test Acc: 42.56% | Best Acc: 44.91%
Epoch [11/100] | Train Loss: 1.4222, Train Acc: 48.20% | Test Loss: 1.9783, Test Acc: 31.27% | Best Acc: 44.91%
Epoch [12/100] | Train Loss: 1.4099, Train Acc: 48.44% | Test Loss: 1.3810, Test Acc: 49.15% | Best Acc: 49.15%
Epoch [13/100] | Train Loss: 1.3888, Train Acc: 49.58% | Test Loss: 1.3931, Test Acc: 50.24% | Best Acc: 50.24%
Epoch [14/100] | Train Loss: 1.4094, Train Acc: 48.78% | Test Loss: 1.3980, Test Acc: 48.90% | Best Acc: 50.24%
Epoch [15/100] | Train Loss: 1.4059, Train Acc: 49.22% | Test Loss: 1.3823, Test Acc: 49.98% | Best Acc: 50.24%
Epoch [16/100] | Train Loss: 1.3816, Train Acc: 50.18% | Test Loss: 1.3851, Test Acc: 49.55% | Best Acc: 50.24%
