Using device: cuda
Epoch [1/100] | Train Loss: 2.0653, Train Acc: 26.00% | Test Loss: 2.0246, Test Acc: 21.93% | Best Acc: 21.93%
Epoch [2/100] | Train Loss: 1.8224, Train Acc: 34.59% | Test Loss: 1.7520, Test Acc: 35.53% | Best Acc: 35.53%
Epoch [3/100] | Train Loss: 1.6930, Train Acc: 39.10% | Test Loss: 1.6455, Test Acc: 39.14% | Best Acc: 39.14%
Epoch [4/100] | Train Loss: 1.6022, Train Acc: 42.45% | Test Loss: 1.6218, Test Acc: 39.21% | Best Acc: 39.21%
Epoch [5/100] | Train Loss: 1.5234, Train Acc: 45.76% | Test Loss: 1.4917, Test Acc: 45.49% | Best Acc: 45.49%
Epoch [6/100] | Train Loss: 1.4519, Train Acc: 48.50% | Test Loss: 1.8436, Test Acc: 36.34% | Best Acc: 45.49%
Epoch [7/100] | Train Loss: 1.3917, Train Acc: 49.91% | Test Loss: 1.5194, Test Acc: 45.84% | Best Acc: 45.84%
Epoch [8/100] | Train Loss: 1.3536, Train Acc: 51.82% | Test Loss: 1.5280, Test Acc: 44.19% | Best Acc: 45.84%
Epoch [9/100] | Train Loss: 1.3008, Train Acc: 53.57% | Test Loss: 1.4056, Test Acc: 48.71% | Best Acc: 48.71%
Epoch [10/100] | Train Loss: 1.2719, Train Acc: 54.52% | Test Loss: 1.5664, Test Acc: 43.18% | Best Acc: 48.71%
Epoch [11/100] | Train Loss: 1.2274, Train Acc: 56.30% | Test Loss: 1.5924, Test Acc: 44.66% | Best Acc: 48.71%
Epoch [12/100] | Train Loss: 1.1998, Train Acc: 57.30% | Test Loss: 1.4650, Test Acc: 50.34% | Best Acc: 50.34%
Epoch [13/100] | Train Loss: 1.1721, Train Acc: 58.26% | Test Loss: 2.0048, Test Acc: 40.85% | Best Acc: 50.34%
Epoch [14/100] | Train Loss: 1.1345, Train Acc: 59.81% | Test Loss: 1.3111, Test Acc: 55.34% | Best Acc: 55.34%
Epoch [15/100] | Train Loss: 1.1029, Train Acc: 61.19% | Test Loss: 2.0768, Test Acc: 37.28% | Best Acc: 55.34%
Epoch [16/100] | Train Loss: 1.0743, Train Acc: 62.18% | Test Loss: 1.6515, Test Acc: 45.36% | Best Acc: 55.34%
Epoch [17/100] | Train Loss: 1.0556, Train Acc: 62.42% | Test Loss: 1.4460, Test Acc: 51.86% | Best Acc: 55.34%
Epoch [18/100] | Train Loss: 1.0306, Train Acc: 63.54% | Test Loss: 1.3117, Test Acc: 54.09% | Best Acc: 55.34%
Epoch [19/100] | Train Loss: 1.0097, Train Acc: 64.48% | Test Loss: 1.1925, Test Acc: 59.66% | Best Acc: 59.66%
Epoch [20/100] | Train Loss: 0.9890, Train Acc: 65.35% | Test Loss: 1.3415, Test Acc: 54.85% | Best Acc: 59.66%
Epoch [21/100] | Train Loss: 0.9653, Train Acc: 66.11% | Test Loss: 1.4394, Test Acc: 53.71% | Best Acc: 59.66%
Epoch [22/100] | Train Loss: 0.9415, Train Acc: 66.83% | Test Loss: 1.4328, Test Acc: 54.19% | Best Acc: 59.66%
Epoch [23/100] | Train Loss: 0.9339, Train Acc: 67.09% | Test Loss: 0.9615, Test Acc: 65.61% | Best Acc: 65.61%
