Using device: cuda
Epoch [1/100] | Train Loss: 2.3429, Train Acc: 8.92% | Test Loss: 2.3285, Test Acc: 8.84% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.3358, Train Acc: 9.25% | Test Loss: 2.3257, Test Acc: 9.45% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.3288, Train Acc: 9.41% | Test Loss: 2.3194, Test Acc: 10.02% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.3227, Train Acc: 9.75% | Test Loss: 2.3134, Test Acc: 10.54% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 2.3167, Train Acc: 9.98% | Test Loss: 2.3076, Test Acc: 11.03% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 2.3110, Train Acc: 10.59% | Test Loss: 2.3021, Test Acc: 11.44% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 2.3058, Train Acc: 11.01% | Test Loss: 2.2968, Test Acc: 11.72% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 2.3006, Train Acc: 11.45% | Test Loss: 2.2918, Test Acc: 12.20% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 2.2955, Train Acc: 11.91% | Test Loss: 2.2869, Test Acc: 12.76% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 2.2910, Train Acc: 12.33% | Test Loss: 2.2823, Test Acc: 13.17% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 2.2861, Train Acc: 12.73% | Test Loss: 2.2775, Test Acc: 13.55% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 2.2821, Train Acc: 13.09% | Test Loss: 2.2732, Test Acc: 13.95% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.2777, Train Acc: 13.69% | Test Loss: 2.2688, Test Acc: 14.44% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 2.2735, Train Acc: 14.12% | Test Loss: 2.2645, Test Acc: 14.84% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 2.2693, Train Acc: 14.66% | Test Loss: 2.2605, Test Acc: 15.23% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 2.2657, Train Acc: 14.88% | Test Loss: 2.2562, Test Acc: 15.69% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 2.2615, Train Acc: 15.27% | Test Loss: 2.2523, Test Acc: 16.08% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 2.2580, Train Acc: 15.57% | Test Loss: 2.2483, Test Acc: 16.63% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 2.2545, Train Acc: 16.02% | Test Loss: 2.2445, Test Acc: 17.13% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 2.2505, Train Acc: 16.34% | Test Loss: 2.2405, Test Acc: 17.45% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 2.2469, Train Acc: 16.77% | Test Loss: 2.2372, Test Acc: 17.94% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 2.2435, Train Acc: 17.19% | Test Loss: 2.2334, Test Acc: 18.52% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 2.2401, Train Acc: 17.45% | Test Loss: 2.2298, Test Acc: 18.96% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 2.2366, Train Acc: 17.93% | Test Loss: 2.2262, Test Acc: 19.39% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 2.2337, Train Acc: 18.54% | Test Loss: 2.2227, Test Acc: 19.72% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: 2.2302, Train Acc: 18.74% | Test Loss: 2.2193, Test Acc: 20.27% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: 2.2270, Train Acc: 19.19% | Test Loss: 2.2159, Test Acc: 20.47% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: 2.2238, Train Acc: 19.63% | Test Loss: 2.2126, Test Acc: 20.88% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: 2.2207, Train Acc: 19.84% | Test Loss: 2.2094, Test Acc: 21.06% | Best Acc: 0.00%
Epoch [30/100] | Train Loss: 2.2177, Train Acc: 19.93% | Test Loss: 2.2062, Test Acc: 21.31% | Best Acc: 0.00%
Epoch [31/100] | Train Loss: 2.2147, Train Acc: 20.68% | Test Loss: 2.2033, Test Acc: 21.40% | Best Acc: 0.00%
Epoch [32/100] | Train Loss: 2.2115, Train Acc: 20.88% | Test Loss: 2.2002, Test Acc: 21.52% | Best Acc: 0.00%
Epoch [33/100] | Train Loss: 2.2092, Train Acc: 21.12% | Test Loss: 2.1971, Test Acc: 21.84% | Best Acc: 0.00%
Epoch [34/100] | Train Loss: 2.2060, Train Acc: 21.38% | Test Loss: 2.1939, Test Acc: 22.05% | Best Acc: 0.00%
Epoch [35/100] | Train Loss: 2.2037, Train Acc: 21.40% | Test Loss: 2.1914, Test Acc: 22.11% | Best Acc: 0.00%
Epoch [36/100] | Train Loss: 2.2008, Train Acc: 21.86% | Test Loss: 2.1886, Test Acc: 22.12% | Best Acc: 0.00%
Epoch [37/100] | Train Loss: 2.1986, Train Acc: 21.93% | Test Loss: 2.1861, Test Acc: 22.16% | Best Acc: 0.00%
Epoch [38/100] | Train Loss: 2.1961, Train Acc: 22.07% | Test Loss: 2.1838, Test Acc: 22.20% | Best Acc: 0.00%
