Using device: cuda
Epoch [1/100] | Train Loss: 2.3375, Train Acc: 8.37% | Test Loss: 2.3276, Test Acc: 9.43% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.3319, Train Acc: 8.89% | Test Loss: 2.3296, Test Acc: 9.68% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.3273, Train Acc: 9.17% | Test Loss: 2.3260, Test Acc: 9.90% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.3240, Train Acc: 9.38% | Test Loss: 2.3228, Test Acc: 10.18% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 2.3208, Train Acc: 9.63% | Test Loss: 2.3195, Test Acc: 10.29% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 2.3176, Train Acc: 9.79% | Test Loss: 2.3164, Test Acc: 10.35% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 2.3146, Train Acc: 10.07% | Test Loss: 2.3135, Test Acc: 10.48% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 2.3120, Train Acc: 10.10% | Test Loss: 2.3108, Test Acc: 10.53% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 2.3090, Train Acc: 10.35% | Test Loss: 2.3081, Test Acc: 10.59% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 2.3069, Train Acc: 10.37% | Test Loss: 2.3056, Test Acc: 10.67% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 2.3042, Train Acc: 10.52% | Test Loss: 2.3033, Test Acc: 10.76% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 2.3018, Train Acc: 10.53% | Test Loss: 2.3008, Test Acc: 10.90% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.2994, Train Acc: 10.80% | Test Loss: 2.2986, Test Acc: 10.90% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 2.2970, Train Acc: 10.92% | Test Loss: 2.2962, Test Acc: 10.91% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 2.2947, Train Acc: 11.06% | Test Loss: 2.2942, Test Acc: 11.02% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 2.2928, Train Acc: 11.01% | Test Loss: 2.2920, Test Acc: 11.19% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 2.2909, Train Acc: 11.22% | Test Loss: 2.2898, Test Acc: 11.36% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 2.2891, Train Acc: 11.25% | Test Loss: 2.2878, Test Acc: 11.48% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 2.2868, Train Acc: 11.55% | Test Loss: 2.2858, Test Acc: 11.72% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 2.2854, Train Acc: 11.73% | Test Loss: 2.2836, Test Acc: 11.89% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 2.2829, Train Acc: 11.79% | Test Loss: 2.2816, Test Acc: 12.11% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 2.2805, Train Acc: 11.98% | Test Loss: 2.2797, Test Acc: 12.36% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 2.2788, Train Acc: 12.24% | Test Loss: 2.2776, Test Acc: 12.61% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 2.2770, Train Acc: 12.44% | Test Loss: 2.2756, Test Acc: 12.94% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 2.2746, Train Acc: 12.60% | Test Loss: 2.2735, Test Acc: 13.15% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: 2.2731, Train Acc: 12.59% | Test Loss: 2.2715, Test Acc: 13.40% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: 2.2712, Train Acc: 13.06% | Test Loss: 2.2692, Test Acc: 13.61% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: 2.2689, Train Acc: 13.21% | Test Loss: 2.2671, Test Acc: 13.78% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: 2.2671, Train Acc: 13.41% | Test Loss: 2.2652, Test Acc: 14.03% | Best Acc: 0.00%
Epoch [30/100] | Train Loss: 2.2656, Train Acc: 13.56% | Test Loss: 2.2630, Test Acc: 14.24% | Best Acc: 0.00%
Epoch [31/100] | Train Loss: 2.2635, Train Acc: 13.67% | Test Loss: 2.2611, Test Acc: 14.44% | Best Acc: 0.00%
Epoch [32/100] | Train Loss: 2.2609, Train Acc: 13.93% | Test Loss: 2.2587, Test Acc: 14.46% | Best Acc: 0.00%
Epoch [33/100] | Train Loss: 2.2592, Train Acc: 14.10% | Test Loss: 2.2564, Test Acc: 14.70% | Best Acc: 0.00%
Epoch [34/100] | Train Loss: 2.2568, Train Acc: 14.24% | Test Loss: 2.2542, Test Acc: 14.89% | Best Acc: 0.00%
Epoch [35/100] | Train Loss: 2.2548, Train Acc: 14.53% | Test Loss: 2.2518, Test Acc: 15.00% | Best Acc: 0.00%
Epoch [36/100] | Train Loss: 2.2525, Train Acc: 14.59% | Test Loss: 2.2495, Test Acc: 15.18% | Best Acc: 0.00%
