Using device: cuda
Epoch [1/100] | Train Loss: 2.3191, Train Acc: 10.67% | Test Loss: 2.3261, Test Acc: 9.99% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.3155, Train Acc: 10.76% | Test Loss: 2.3158, Test Acc: 10.49% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.3118, Train Acc: 11.02% | Test Loss: 2.3117, Test Acc: 10.78% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.3085, Train Acc: 11.16% | Test Loss: 2.3082, Test Acc: 11.12% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 2.3050, Train Acc: 11.42% | Test Loss: 2.3049, Test Acc: 11.43% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 2.3017, Train Acc: 11.74% | Test Loss: 2.3015, Test Acc: 11.74% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 2.2987, Train Acc: 11.97% | Test Loss: 2.2985, Test Acc: 12.13% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 2.2959, Train Acc: 12.25% | Test Loss: 2.2954, Test Acc: 12.38% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 2.2933, Train Acc: 12.47% | Test Loss: 2.2925, Test Acc: 12.59% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 2.2903, Train Acc: 12.81% | Test Loss: 2.2897, Test Acc: 12.79% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 2.2876, Train Acc: 13.08% | Test Loss: 2.2870, Test Acc: 13.10% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 2.2848, Train Acc: 13.29% | Test Loss: 2.2843, Test Acc: 13.46% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.2828, Train Acc: 13.54% | Test Loss: 2.2818, Test Acc: 13.62% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 2.2804, Train Acc: 13.75% | Test Loss: 2.2793, Test Acc: 13.69% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 2.2780, Train Acc: 14.00% | Test Loss: 2.2769, Test Acc: 13.86% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 2.2757, Train Acc: 14.26% | Test Loss: 2.2746, Test Acc: 14.04% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 2.2735, Train Acc: 14.43% | Test Loss: 2.2725, Test Acc: 14.22% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 2.2717, Train Acc: 14.60% | Test Loss: 2.2702, Test Acc: 14.54% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 2.2695, Train Acc: 14.90% | Test Loss: 2.2679, Test Acc: 14.76% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 2.2672, Train Acc: 15.10% | Test Loss: 2.2660, Test Acc: 14.88% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 2.2656, Train Acc: 15.28% | Test Loss: 2.2640, Test Acc: 15.06% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 2.2637, Train Acc: 15.48% | Test Loss: 2.2620, Test Acc: 15.13% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 2.2615, Train Acc: 15.55% | Test Loss: 2.2601, Test Acc: 15.28% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 2.2597, Train Acc: 15.90% | Test Loss: 2.2583, Test Acc: 15.33% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 2.2582, Train Acc: 15.99% | Test Loss: 2.2565, Test Acc: 15.42% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: 2.2566, Train Acc: 15.98% | Test Loss: 2.2547, Test Acc: 15.47% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: 2.2550, Train Acc: 16.14% | Test Loss: 2.2529, Test Acc: 15.48% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: 2.2527, Train Acc: 16.44% | Test Loss: 2.2512, Test Acc: 15.45% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: 2.2515, Train Acc: 16.42% | Test Loss: 2.2496, Test Acc: 15.66% | Best Acc: 0.00%
Epoch [30/100] | Train Loss: 2.2501, Train Acc: 16.75% | Test Loss: 2.2480, Test Acc: 15.75% | Best Acc: 0.00%
Epoch [31/100] | Train Loss: 2.2485, Train Acc: 16.81% | Test Loss: 2.2465, Test Acc: 15.91% | Best Acc: 0.00%
Epoch [32/100] | Train Loss: 2.2472, Train Acc: 16.75% | Test Loss: 2.2447, Test Acc: 15.99% | Best Acc: 0.00%
Epoch [33/100] | Train Loss: 2.2455, Train Acc: 17.07% | Test Loss: 2.2432, Test Acc: 16.07% | Best Acc: 0.00%
Epoch [34/100] | Train Loss: 2.2438, Train Acc: 17.07% | Test Loss: 2.2417, Test Acc: 16.11% | Best Acc: 0.00%
Epoch [35/100] | Train Loss: 2.2431, Train Acc: 17.11% | Test Loss: 2.2401, Test Acc: 16.17% | Best Acc: 0.00%
Epoch [36/100] | Train Loss: 2.2414, Train Acc: 17.44% | Test Loss: 2.2388, Test Acc: 16.26% | Best Acc: 0.00%
Epoch [37/100] | Train Loss: 2.2397, Train Acc: 17.35% | Test Loss: 2.2373, Test Acc: 16.42% | Best Acc: 0.00%
Epoch [38/100] | Train Loss: 2.2386, Train Acc: 17.50% | Test Loss: 2.2360, Test Acc: 16.52% | Best Acc: 0.00%
Epoch [39/100] | Train Loss: 2.2373, Train Acc: 17.66% | Test Loss: 2.2347, Test Acc: 16.56% | Best Acc: 0.00%
Epoch [40/100] | Train Loss: 2.2363, Train Acc: 17.58% | Test Loss: 2.2334, Test Acc: 16.64% | Best Acc: 0.00%
Epoch [41/100] | Train Loss: 2.2349, Train Acc: 17.79% | Test Loss: 2.2323, Test Acc: 16.68% | Best Acc: 0.00%
Epoch [42/100] | Train Loss: 2.2336, Train Acc: 17.90% | Test Loss: 2.2309, Test Acc: 16.74% | Best Acc: 0.00%
Epoch [43/100] | Train Loss: 2.2324, Train Acc: 17.85% | Test Loss: 2.2297, Test Acc: 16.85% | Best Acc: 0.00%
Epoch [44/100] | Train Loss: 2.2314, Train Acc: 17.87% | Test Loss: 2.2285, Test Acc: 16.92% | Best Acc: 0.00%
Epoch [45/100] | Train Loss: 2.2307, Train Acc: 17.93% | Test Loss: 2.2275, Test Acc: 16.89% | Best Acc: 0.00%
Epoch [46/100] | Train Loss: 2.2295, Train Acc: 17.98% | Test Loss: 2.2263, Test Acc: 16.93% | Best Acc: 0.00%
Epoch [47/100] | Train Loss: 2.2283, Train Acc: 18.33% | Test Loss: 2.2251, Test Acc: 17.01% | Best Acc: 0.00%
Epoch [48/100] | Train Loss: 2.2275, Train Acc: 18.16% | Test Loss: 2.2242, Test Acc: 17.05% | Best Acc: 0.00%
Epoch [49/100] | Train Loss: 2.2262, Train Acc: 18.25% | Test Loss: 2.2233, Test Acc: 17.22% | Best Acc: 0.00%
Epoch [50/100] | Train Loss: 2.2259, Train Acc: 18.10% | Test Loss: 2.2221, Test Acc: 17.27% | Best Acc: 0.00%
Epoch [51/100] | Train Loss: 2.2244, Train Acc: 18.26% | Test Loss: 2.2215, Test Acc: 17.22% | Best Acc: 0.00%
Epoch [52/100] | Train Loss: 2.2236, Train Acc: 18.31% | Test Loss: 2.2203, Test Acc: 17.30% | Best Acc: 0.00%
Epoch [53/100] | Train Loss: 2.2231, Train Acc: 18.42% | Test Loss: 2.2194, Test Acc: 17.30% | Best Acc: 0.00%
Epoch [54/100] | Train Loss: 2.2223, Train Acc: 18.46% | Test Loss: 2.2189, Test Acc: 17.31% | Best Acc: 0.00%
Epoch [55/100] | Train Loss: 2.2211, Train Acc: 18.57% | Test Loss: 2.2178, Test Acc: 17.34% | Best Acc: 0.00%
