Using device: cuda
Epoch [1/100] | Train Loss: 2.3439, Train Acc: 10.81% | Test Loss: 2.3325, Test Acc: 10.68% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.3389, Train Acc: 11.34% | Test Loss: 2.3343, Test Acc: 11.28% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.3339, Train Acc: 11.64% | Test Loss: 2.3295, Test Acc: 11.54% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.3294, Train Acc: 12.15% | Test Loss: 2.3249, Test Acc: 11.93% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 2.3253, Train Acc: 12.58% | Test Loss: 2.3207, Test Acc: 12.45% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 2.3205, Train Acc: 13.02% | Test Loss: 2.3162, Test Acc: 12.70% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 2.3161, Train Acc: 13.35% | Test Loss: 2.3118, Test Acc: 13.20% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 2.3121, Train Acc: 13.68% | Test Loss: 2.3078, Test Acc: 13.51% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 2.3082, Train Acc: 13.96% | Test Loss: 2.3034, Test Acc: 13.97% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 2.3038, Train Acc: 14.24% | Test Loss: 2.2995, Test Acc: 14.40% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 2.3003, Train Acc: 14.32% | Test Loss: 2.2957, Test Acc: 14.67% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 2.2959, Train Acc: 14.68% | Test Loss: 2.2917, Test Acc: 14.92% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.2926, Train Acc: 14.82% | Test Loss: 2.2877, Test Acc: 15.19% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 2.2889, Train Acc: 15.10% | Test Loss: 2.2839, Test Acc: 15.33% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 2.2850, Train Acc: 15.44% | Test Loss: 2.2802, Test Acc: 15.59% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 2.2817, Train Acc: 15.32% | Test Loss: 2.2765, Test Acc: 15.68% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 2.2783, Train Acc: 15.53% | Test Loss: 2.2726, Test Acc: 15.82% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 2.2746, Train Acc: 15.55% | Test Loss: 2.2688, Test Acc: 15.87% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 2.2709, Train Acc: 15.71% | Test Loss: 2.2651, Test Acc: 16.00% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 2.2676, Train Acc: 16.06% | Test Loss: 2.2617, Test Acc: 16.04% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 2.2646, Train Acc: 15.98% | Test Loss: 2.2580, Test Acc: 16.19% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 2.2607, Train Acc: 16.20% | Test Loss: 2.2544, Test Acc: 16.19% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 2.2574, Train Acc: 16.23% | Test Loss: 2.2511, Test Acc: 16.20% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 2.2541, Train Acc: 16.28% | Test Loss: 2.2480, Test Acc: 16.24% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 2.2510, Train Acc: 16.62% | Test Loss: 2.2442, Test Acc: 16.31% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: 2.2480, Train Acc: 16.56% | Test Loss: 2.2413, Test Acc: 16.42% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: 2.2449, Train Acc: 16.73% | Test Loss: 2.2378, Test Acc: 16.51% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: 2.2417, Train Acc: 16.81% | Test Loss: 2.2346, Test Acc: 16.59% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: 2.2386, Train Acc: 16.93% | Test Loss: 2.2318, Test Acc: 16.78% | Best Acc: 0.00%
Epoch [30/100] | Train Loss: 2.2361, Train Acc: 16.72% | Test Loss: 2.2285, Test Acc: 16.81% | Best Acc: 0.00%
Epoch [31/100] | Train Loss: 2.2336, Train Acc: 16.82% | Test Loss: 2.2256, Test Acc: 16.90% | Best Acc: 0.00%
Epoch [32/100] | Train Loss: 2.2305, Train Acc: 17.23% | Test Loss: 2.2231, Test Acc: 17.07% | Best Acc: 0.00%
Epoch [33/100] | Train Loss: 2.2280, Train Acc: 17.24% | Test Loss: 2.2201, Test Acc: 17.19% | Best Acc: 0.00%
Epoch [34/100] | Train Loss: 2.2260, Train Acc: 17.29% | Test Loss: 2.2175, Test Acc: 17.26% | Best Acc: 0.00%
Epoch [35/100] | Train Loss: 2.2227, Train Acc: 17.46% | Test Loss: 2.2152, Test Acc: 17.29% | Best Acc: 0.00%
Epoch [36/100] | Train Loss: 2.2211, Train Acc: 17.35% | Test Loss: 2.2131, Test Acc: 17.45% | Best Acc: 0.00%
Epoch [37/100] | Train Loss: 2.2190, Train Acc: 17.44% | Test Loss: 2.2107, Test Acc: 17.38% | Best Acc: 0.00%
Epoch [38/100] | Train Loss: 2.2165, Train Acc: 17.62% | Test Loss: 2.2086, Test Acc: 17.49% | Best Acc: 0.00%
Epoch [39/100] | Train Loss: 2.2142, Train Acc: 17.82% | Test Loss: 2.2063, Test Acc: 17.57% | Best Acc: 0.00%
Epoch [40/100] | Train Loss: 2.2126, Train Acc: 17.64% | Test Loss: 2.2038, Test Acc: 17.68% | Best Acc: 0.00%
Epoch [41/100] | Train Loss: 2.2104, Train Acc: 17.88% | Test Loss: 2.2023, Test Acc: 17.73% | Best Acc: 0.00%
Epoch [42/100] | Train Loss: 2.2091, Train Acc: 17.93% | Test Loss: 2.2003, Test Acc: 17.74% | Best Acc: 0.00%
Epoch [43/100] | Train Loss: 2.2066, Train Acc: 18.01% | Test Loss: 2.1982, Test Acc: 17.95% | Best Acc: 0.00%
Epoch [44/100] | Train Loss: 2.2054, Train Acc: 18.05% | Test Loss: 2.1968, Test Acc: 18.07% | Best Acc: 0.00%
Epoch [45/100] | Train Loss: 2.2035, Train Acc: 18.02% | Test Loss: 2.1949, Test Acc: 18.10% | Best Acc: 0.00%
Epoch [46/100] | Train Loss: 2.2024, Train Acc: 18.01% | Test Loss: 2.1932, Test Acc: 18.20% | Best Acc: 0.00%
Epoch [47/100] | Train Loss: 2.2007, Train Acc: 18.19% | Test Loss: 2.1918, Test Acc: 18.28% | Best Acc: 0.00%
Epoch [48/100] | Train Loss: 2.1989, Train Acc: 18.37% | Test Loss: 2.1904, Test Acc: 18.24% | Best Acc: 0.00%
Epoch [49/100] | Train Loss: 2.1973, Train Acc: 18.47% | Test Loss: 2.1885, Test Acc: 18.30% | Best Acc: 0.00%
Epoch [50/100] | Train Loss: 2.1960, Train Acc: 18.35% | Test Loss: 2.1871, Test Acc: 18.41% | Best Acc: 0.00%
Epoch [51/100] | Train Loss: 2.1950, Train Acc: 18.39% | Test Loss: 2.1863, Test Acc: 18.50% | Best Acc: 0.00%
Epoch [52/100] | Train Loss: 2.1935, Train Acc: 18.63% | Test Loss: 2.1854, Test Acc: 18.60% | Best Acc: 0.00%
Epoch [53/100] | Train Loss: 2.1922, Train Acc: 18.88% | Test Loss: 2.1838, Test Acc: 18.65% | Best Acc: 0.00%
Epoch [54/100] | Train Loss: 2.1917, Train Acc: 18.66% | Test Loss: 2.1818, Test Acc: 18.61% | Best Acc: 0.00%
Epoch [55/100] | Train Loss: 2.1907, Train Acc: 18.67% | Test Loss: 2.1809, Test Acc: 18.62% | Best Acc: 0.00%
Epoch [56/100] | Train Loss: 2.1895, Train Acc: 18.72% | Test Loss: 2.1808, Test Acc: 18.70% | Best Acc: 0.00%
Epoch [57/100] | Train Loss: 2.1881, Train Acc: 18.87% | Test Loss: 2.1791, Test Acc: 18.79% | Best Acc: 0.00%
Epoch [58/100] | Train Loss: 2.1873, Train Acc: 19.09% | Test Loss: 2.1779, Test Acc: 18.91% | Best Acc: 0.00%
Epoch [59/100] | Train Loss: 2.1860, Train Acc: 18.98% | Test Loss: 2.1768, Test Acc: 18.99% | Best Acc: 0.00%
Epoch [60/100] | Train Loss: 2.1856, Train Acc: 18.97% | Test Loss: 2.1762, Test Acc: 19.02% | Best Acc: 0.00%
Epoch [61/100] | Train Loss: 2.1847, Train Acc: 19.36% | Test Loss: 2.1752, Test Acc: 18.98% | Best Acc: 0.00%
Epoch [62/100] | Train Loss: 2.1837, Train Acc: 19.17% | Test Loss: 2.1750, Test Acc: 19.09% | Best Acc: 0.00%
Epoch [63/100] | Train Loss: 2.1834, Train Acc: 19.29% | Test Loss: 2.1740, Test Acc: 19.14% | Best Acc: 0.00%
Epoch [64/100] | Train Loss: 2.1828, Train Acc: 19.17% | Test Loss: 2.1730, Test Acc: 19.22% | Best Acc: 0.00%
Epoch [65/100] | Train Loss: 2.1819, Train Acc: 19.42% | Test Loss: 2.1721, Test Acc: 19.27% | Best Acc: 0.00%
Epoch [66/100] | Train Loss: 2.1809, Train Acc: 19.36% | Test Loss: 2.1713, Test Acc: 19.25% | Best Acc: 0.00%
Epoch [67/100] | Train Loss: 2.1806, Train Acc: 19.41% | Test Loss: 2.1711, Test Acc: 19.35% | Best Acc: 0.00%
Epoch [68/100] | Train Loss: 2.1802, Train Acc: 19.44% | Test Loss: 2.1703, Test Acc: 19.34% | Best Acc: 0.00%
Epoch [69/100] | Train Loss: 2.1800, Train Acc: 19.48% | Test Loss: 2.1703, Test Acc: 19.45% | Best Acc: 0.00%
Epoch [70/100] | Train Loss: 2.1788, Train Acc: 19.51% | Test Loss: 2.1704, Test Acc: 19.60% | Best Acc: 0.00%
Epoch [71/100] | Train Loss: 2.1785, Train Acc: 19.83% | Test Loss: 2.1686, Test Acc: 19.49% | Best Acc: 0.00%
