Using device: cuda
Epoch [1/100] | Train Loss: 1.8123, Train Acc: 33.20% | Test Loss: 1.8444, Test Acc: 35.16% | Best Acc: 35.16%
Epoch [2/100] | Train Loss: 1.5179, Train Acc: 44.92% | Test Loss: 2.4022, Test Acc: 29.73% | Best Acc: 35.16%
Epoch [3/100] | Train Loss: 1.3579, Train Acc: 50.77% | Test Loss: 2.1328, Test Acc: 31.85% | Best Acc: 35.16%
Epoch [4/100] | Train Loss: 1.2059, Train Acc: 56.43% | Test Loss: 1.9909, Test Acc: 33.61% | Best Acc: 35.16%
Epoch [5/100] | Train Loss: 1.1056, Train Acc: 60.48% | Test Loss: 1.4704, Test Acc: 49.34% | Best Acc: 49.34%
Epoch [6/100] | Train Loss: 0.9843, Train Acc: 65.11% | Test Loss: 1.0667, Test Acc: 61.66% | Best Acc: 61.66%
Epoch [7/100] | Train Loss: 0.9186, Train Acc: 67.66% | Test Loss: 1.8589, Test Acc: 45.41% | Best Acc: 61.66%
Epoch [8/100] | Train Loss: 0.8590, Train Acc: 69.91% | Test Loss: 1.1695, Test Acc: 61.21% | Best Acc: 61.66%
Epoch [9/100] | Train Loss: 0.7887, Train Acc: 72.50% | Test Loss: 2.8077, Test Acc: 37.82% | Best Acc: 61.66%
Epoch [10/100] | Train Loss: 0.7427, Train Acc: 74.06% | Test Loss: 1.2442, Test Acc: 60.65% | Best Acc: 61.66%
Epoch [11/100] | Train Loss: 0.7078, Train Acc: 75.48% | Test Loss: 0.8823, Test Acc: 70.03% | Best Acc: 70.03%
Epoch [12/100] | Train Loss: 0.6699, Train Acc: 76.85% | Test Loss: 1.3414, Test Acc: 55.19% | Best Acc: 70.03%
Epoch [13/100] | Train Loss: 0.6309, Train Acc: 78.28% | Test Loss: 1.1996, Test Acc: 63.28% | Best Acc: 70.03%
Epoch [14/100] | Train Loss: 0.6052, Train Acc: 78.95% | Test Loss: 1.3540, Test Acc: 58.02% | Best Acc: 70.03%
Epoch [15/100] | Train Loss: 0.5882, Train Acc: 79.67% | Test Loss: 1.3141, Test Acc: 63.00% | Best Acc: 70.03%
Epoch [16/100] | Train Loss: 0.5585, Train Acc: 80.83% | Test Loss: 1.4103, Test Acc: 59.33% | Best Acc: 70.03%
