Using device: cuda
Epoch [1/100] | Train Loss: 2.3153, Train Acc: 10.96% | Test Loss: 2.3068, Test Acc: 10.27% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.3098, Train Acc: 11.32% | Test Loss: 2.3032, Test Acc: 11.27% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.3057, Train Acc: 11.39% | Test Loss: 2.2983, Test Acc: 11.53% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.3004, Train Acc: 11.68% | Test Loss: 2.2934, Test Acc: 11.85% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 2.2957, Train Acc: 12.02% | Test Loss: 2.2888, Test Acc: 12.08% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 2.2915, Train Acc: 12.14% | Test Loss: 2.2843, Test Acc: 12.33% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 2.2868, Train Acc: 12.50% | Test Loss: 2.2799, Test Acc: 12.78% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 2.2830, Train Acc: 12.87% | Test Loss: 2.2757, Test Acc: 13.40% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 2.2785, Train Acc: 13.52% | Test Loss: 2.2715, Test Acc: 14.15% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 2.2753, Train Acc: 13.63% | Test Loss: 2.2675, Test Acc: 15.05% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 2.2711, Train Acc: 14.57% | Test Loss: 2.2637, Test Acc: 15.82% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 2.2675, Train Acc: 15.21% | Test Loss: 2.2599, Test Acc: 16.83% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.2645, Train Acc: 15.82% | Test Loss: 2.2566, Test Acc: 17.58% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 2.2607, Train Acc: 16.36% | Test Loss: 2.2529, Test Acc: 18.37% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 2.2574, Train Acc: 17.15% | Test Loss: 2.2497, Test Acc: 18.79% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 2.2548, Train Acc: 17.56% | Test Loss: 2.2466, Test Acc: 19.28% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 2.2514, Train Acc: 18.06% | Test Loss: 2.2435, Test Acc: 19.93% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 2.2486, Train Acc: 18.56% | Test Loss: 2.2405, Test Acc: 19.98% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 2.2458, Train Acc: 19.00% | Test Loss: 2.2375, Test Acc: 20.29% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 2.2426, Train Acc: 19.66% | Test Loss: 2.2347, Test Acc: 20.50% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 2.2405, Train Acc: 19.73% | Test Loss: 2.2319, Test Acc: 20.55% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 2.2375, Train Acc: 19.95% | Test Loss: 2.2292, Test Acc: 20.65% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 2.2351, Train Acc: 20.20% | Test Loss: 2.2264, Test Acc: 20.67% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 2.2328, Train Acc: 20.31% | Test Loss: 2.2235, Test Acc: 20.72% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 2.2309, Train Acc: 20.31% | Test Loss: 2.2216, Test Acc: 20.80% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: 2.2276, Train Acc: 20.75% | Test Loss: 2.2188, Test Acc: 20.84% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: 2.2264, Train Acc: 20.63% | Test Loss: 2.2163, Test Acc: 20.90% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: 2.2235, Train Acc: 20.77% | Test Loss: 2.2141, Test Acc: 20.81% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: 2.2212, Train Acc: 20.93% | Test Loss: 2.2119, Test Acc: 20.85% | Best Acc: 0.00%
