Using device: cuda
Epoch [1/100] | Train Loss: 2.3232, Train Acc: 8.73% | Test Loss: 2.3196, Test Acc: 10.45% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.3175, Train Acc: 9.02% | Test Loss: 2.3162, Test Acc: 9.07% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.3122, Train Acc: 9.19% | Test Loss: 2.3109, Test Acc: 9.31% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.3070, Train Acc: 9.69% | Test Loss: 2.3058, Test Acc: 9.75% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 2.3021, Train Acc: 10.08% | Test Loss: 2.3010, Test Acc: 10.46% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 2.2975, Train Acc: 10.58% | Test Loss: 2.2962, Test Acc: 11.14% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 2.2935, Train Acc: 11.39% | Test Loss: 2.2919, Test Acc: 11.90% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 2.2890, Train Acc: 12.16% | Test Loss: 2.2876, Test Acc: 12.59% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 2.2850, Train Acc: 13.08% | Test Loss: 2.2834, Test Acc: 13.43% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 2.2810, Train Acc: 13.98% | Test Loss: 2.2793, Test Acc: 14.52% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 2.2773, Train Acc: 14.96% | Test Loss: 2.2753, Test Acc: 15.47% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 2.2734, Train Acc: 15.97% | Test Loss: 2.2713, Test Acc: 16.44% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.2701, Train Acc: 16.84% | Test Loss: 2.2676, Test Acc: 17.44% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 2.2662, Train Acc: 17.68% | Test Loss: 2.2638, Test Acc: 18.19% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 2.2626, Train Acc: 18.20% | Test Loss: 2.2601, Test Acc: 18.62% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 2.2595, Train Acc: 18.90% | Test Loss: 2.2564, Test Acc: 19.36% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 2.2558, Train Acc: 19.29% | Test Loss: 2.2527, Test Acc: 19.68% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 2.2526, Train Acc: 19.56% | Test Loss: 2.2492, Test Acc: 20.02% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 2.2493, Train Acc: 20.00% | Test Loss: 2.2453, Test Acc: 20.43% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 2.2457, Train Acc: 20.49% | Test Loss: 2.2418, Test Acc: 20.50% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 2.2427, Train Acc: 20.60% | Test Loss: 2.2385, Test Acc: 20.81% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 2.2390, Train Acc: 20.85% | Test Loss: 2.2349, Test Acc: 21.05% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 2.2356, Train Acc: 21.11% | Test Loss: 2.2313, Test Acc: 21.33% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 2.2323, Train Acc: 21.25% | Test Loss: 2.2275, Test Acc: 21.60% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 2.2293, Train Acc: 21.24% | Test Loss: 2.2245, Test Acc: 21.68% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: 2.2261, Train Acc: 21.29% | Test Loss: 2.2210, Test Acc: 21.69% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: 2.2228, Train Acc: 21.49% | Test Loss: 2.2175, Test Acc: 21.83% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: 2.2200, Train Acc: 21.67% | Test Loss: 2.2142, Test Acc: 21.95% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: 2.2168, Train Acc: 21.80% | Test Loss: 2.2108, Test Acc: 22.06% | Best Acc: 0.00%
Epoch [30/100] | Train Loss: 2.2142, Train Acc: 21.76% | Test Loss: 2.2074, Test Acc: 22.26% | Best Acc: 0.00%
Epoch [31/100] | Train Loss: 2.2105, Train Acc: 22.11% | Test Loss: 2.2040, Test Acc: 22.44% | Best Acc: 0.00%
Epoch [32/100] | Train Loss: 2.2078, Train Acc: 22.18% | Test Loss: 2.2014, Test Acc: 22.63% | Best Acc: 0.00%
Epoch [33/100] | Train Loss: 2.2045, Train Acc: 22.42% | Test Loss: 2.1979, Test Acc: 22.65% | Best Acc: 0.00%
