Using device: cuda
Epoch [1/100] | Train Loss: 2.3174, Train Acc: 9.25% | Test Loss: 2.3049, Test Acc: 11.11% | Best Acc: 0.00%
Epoch [2/100] | Train Loss: 2.3140, Train Acc: 9.45% | Test Loss: 2.3084, Test Acc: 9.49% | Best Acc: 0.00%
Epoch [3/100] | Train Loss: 2.3117, Train Acc: 9.67% | Test Loss: 2.3061, Test Acc: 9.61% | Best Acc: 0.00%
Epoch [4/100] | Train Loss: 2.3093, Train Acc: 9.87% | Test Loss: 2.3037, Test Acc: 9.82% | Best Acc: 0.00%
Epoch [5/100] | Train Loss: 2.3065, Train Acc: 10.05% | Test Loss: 2.3013, Test Acc: 9.95% | Best Acc: 0.00%
Epoch [6/100] | Train Loss: 2.3042, Train Acc: 10.33% | Test Loss: 2.2990, Test Acc: 10.19% | Best Acc: 0.00%
Epoch [7/100] | Train Loss: 2.3022, Train Acc: 10.44% | Test Loss: 2.2969, Test Acc: 10.51% | Best Acc: 0.00%
Epoch [8/100] | Train Loss: 2.2999, Train Acc: 10.65% | Test Loss: 2.2949, Test Acc: 10.67% | Best Acc: 0.00%
Epoch [9/100] | Train Loss: 2.2978, Train Acc: 10.84% | Test Loss: 2.2928, Test Acc: 10.90% | Best Acc: 0.00%
Epoch [10/100] | Train Loss: 2.2955, Train Acc: 11.16% | Test Loss: 2.2910, Test Acc: 11.11% | Best Acc: 0.00%
Epoch [11/100] | Train Loss: 2.2936, Train Acc: 11.35% | Test Loss: 2.2892, Test Acc: 11.49% | Best Acc: 0.00%
Epoch [12/100] | Train Loss: 2.2921, Train Acc: 11.52% | Test Loss: 2.2873, Test Acc: 11.88% | Best Acc: 0.00%
Epoch [13/100] | Train Loss: 2.2901, Train Acc: 11.92% | Test Loss: 2.2856, Test Acc: 12.26% | Best Acc: 0.00%
Epoch [14/100] | Train Loss: 2.2888, Train Acc: 12.10% | Test Loss: 2.2840, Test Acc: 12.85% | Best Acc: 0.00%
Epoch [15/100] | Train Loss: 2.2873, Train Acc: 12.31% | Test Loss: 2.2823, Test Acc: 13.04% | Best Acc: 0.00%
Epoch [16/100] | Train Loss: 2.2855, Train Acc: 12.77% | Test Loss: 2.2807, Test Acc: 13.58% | Best Acc: 0.00%
Epoch [17/100] | Train Loss: 2.2837, Train Acc: 12.85% | Test Loss: 2.2792, Test Acc: 13.90% | Best Acc: 0.00%
Epoch [18/100] | Train Loss: 2.2823, Train Acc: 13.05% | Test Loss: 2.2777, Test Acc: 14.17% | Best Acc: 0.00%
Epoch [19/100] | Train Loss: 2.2809, Train Acc: 13.37% | Test Loss: 2.2762, Test Acc: 14.60% | Best Acc: 0.00%
Epoch [20/100] | Train Loss: 2.2795, Train Acc: 13.74% | Test Loss: 2.2748, Test Acc: 14.83% | Best Acc: 0.00%
Epoch [21/100] | Train Loss: 2.2778, Train Acc: 13.94% | Test Loss: 2.2733, Test Acc: 15.31% | Best Acc: 0.00%
Epoch [22/100] | Train Loss: 2.2767, Train Acc: 14.20% | Test Loss: 2.2721, Test Acc: 15.74% | Best Acc: 0.00%
Epoch [23/100] | Train Loss: 2.2758, Train Acc: 14.48% | Test Loss: 2.2707, Test Acc: 16.05% | Best Acc: 0.00%
Epoch [24/100] | Train Loss: 2.2744, Train Acc: 14.79% | Test Loss: 2.2694, Test Acc: 16.48% | Best Acc: 0.00%
Epoch [25/100] | Train Loss: 2.2731, Train Acc: 15.15% | Test Loss: 2.2681, Test Acc: 16.80% | Best Acc: 0.00%
Epoch [26/100] | Train Loss: 2.2719, Train Acc: 15.20% | Test Loss: 2.2669, Test Acc: 17.05% | Best Acc: 0.00%
Epoch [27/100] | Train Loss: 2.2709, Train Acc: 15.36% | Test Loss: 2.2657, Test Acc: 17.43% | Best Acc: 0.00%
Epoch [28/100] | Train Loss: 2.2697, Train Acc: 15.68% | Test Loss: 2.2645, Test Acc: 17.67% | Best Acc: 0.00%
Epoch [29/100] | Train Loss: 2.2683, Train Acc: 16.04% | Test Loss: 2.2634, Test Acc: 17.89% | Best Acc: 0.00%
Epoch [30/100] | Train Loss: 2.2676, Train Acc: 16.13% | Test Loss: 2.2623, Test Acc: 18.03% | Best Acc: 0.00%
Epoch [31/100] | Train Loss: 2.2662, Train Acc: 16.35% | Test Loss: 2.2611, Test Acc: 18.52% | Best Acc: 0.00%
Epoch [32/100] | Train Loss: 2.2649, Train Acc: 16.74% | Test Loss: 2.2600, Test Acc: 18.71% | Best Acc: 0.00%
Epoch [33/100] | Train Loss: 2.2646, Train Acc: 16.94% | Test Loss: 2.2590, Test Acc: 18.89% | Best Acc: 0.00%
Epoch [34/100] | Train Loss: 2.2630, Train Acc: 17.15% | Test Loss: 2.2580, Test Acc: 19.15% | Best Acc: 0.00%
Epoch [35/100] | Train Loss: 2.2619, Train Acc: 17.31% | Test Loss: 2.2569, Test Acc: 19.59% | Best Acc: 0.00%
Epoch [36/100] | Train Loss: 2.2611, Train Acc: 17.50% | Test Loss: 2.2559, Test Acc: 19.82% | Best Acc: 0.00%
Epoch [37/100] | Train Loss: 2.2603, Train Acc: 17.76% | Test Loss: 2.2549, Test Acc: 20.09% | Best Acc: 0.00%
Epoch [38/100] | Train Loss: 2.2596, Train Acc: 17.90% | Test Loss: 2.2539, Test Acc: 20.44% | Best Acc: 0.00%
Epoch [39/100] | Train Loss: 2.2583, Train Acc: 18.01% | Test Loss: 2.2529, Test Acc: 20.59% | Best Acc: 0.00%
Epoch [40/100] | Train Loss: 2.2574, Train Acc: 18.30% | Test Loss: 2.2519, Test Acc: 20.78% | Best Acc: 0.00%
Epoch [41/100] | Train Loss: 2.2565, Train Acc: 18.43% | Test Loss: 2.2511, Test Acc: 20.87% | Best Acc: 0.00%
Epoch [42/100] | Train Loss: 2.2557, Train Acc: 18.63% | Test Loss: 2.2501, Test Acc: 21.17% | Best Acc: 0.00%
Epoch [43/100] | Train Loss: 2.2550, Train Acc: 18.82% | Test Loss: 2.2491, Test Acc: 21.28% | Best Acc: 0.00%
Epoch [44/100] | Train Loss: 2.2536, Train Acc: 19.04% | Test Loss: 2.2484, Test Acc: 21.42% | Best Acc: 0.00%
Epoch [45/100] | Train Loss: 2.2530, Train Acc: 19.03% | Test Loss: 2.2476, Test Acc: 21.62% | Best Acc: 0.00%
Epoch [46/100] | Train Loss: 2.2520, Train Acc: 19.20% | Test Loss: 2.2466, Test Acc: 21.74% | Best Acc: 0.00%
Epoch [47/100] | Train Loss: 2.2515, Train Acc: 19.26% | Test Loss: 2.2459, Test Acc: 21.94% | Best Acc: 0.00%
Epoch [48/100] | Train Loss: 2.2506, Train Acc: 19.60% | Test Loss: 2.2450, Test Acc: 22.13% | Best Acc: 0.00%
Epoch [49/100] | Train Loss: 2.2497, Train Acc: 19.71% | Test Loss: 2.2442, Test Acc: 22.25% | Best Acc: 0.00%
Epoch [50/100] | Train Loss: 2.2489, Train Acc: 19.86% | Test Loss: 2.2436, Test Acc: 22.29% | Best Acc: 0.00%
Epoch [51/100] | Train Loss: 2.2482, Train Acc: 20.04% | Test Loss: 2.2427, Test Acc: 22.25% | Best Acc: 0.00%
Epoch [52/100] | Train Loss: 2.2477, Train Acc: 20.06% | Test Loss: 2.2422, Test Acc: 22.27% | Best Acc: 0.00%
Epoch [53/100] | Train Loss: 2.2472, Train Acc: 20.01% | Test Loss: 2.2413, Test Acc: 22.38% | Best Acc: 0.00%
Epoch [54/100] | Train Loss: 2.2461, Train Acc: 20.40% | Test Loss: 2.2406, Test Acc: 22.38% | Best Acc: 0.00%
Epoch [55/100] | Train Loss: 2.2457, Train Acc: 20.31% | Test Loss: 2.2400, Test Acc: 22.49% | Best Acc: 0.00%
Epoch [56/100] | Train Loss: 2.2452, Train Acc: 20.45% | Test Loss: 2.2395, Test Acc: 22.57% | Best Acc: 0.00%
Epoch [57/100] | Train Loss: 2.2449, Train Acc: 20.40% | Test Loss: 2.2387, Test Acc: 22.57% | Best Acc: 0.00%
Epoch [58/100] | Train Loss: 2.2439, Train Acc: 20.72% | Test Loss: 2.2381, Test Acc: 22.77% | Best Acc: 0.00%
Epoch [59/100] | Train Loss: 2.2432, Train Acc: 20.58% | Test Loss: 2.2375, Test Acc: 22.85% | Best Acc: 0.00%
Epoch [60/100] | Train Loss: 2.2426, Train Acc: 20.85% | Test Loss: 2.2369, Test Acc: 22.92% | Best Acc: 0.00%
Epoch [61/100] | Train Loss: 2.2425, Train Acc: 20.77% | Test Loss: 2.2364, Test Acc: 22.88% | Best Acc: 0.00%
Epoch [62/100] | Train Loss: 2.2416, Train Acc: 20.93% | Test Loss: 2.2358, Test Acc: 22.95% | Best Acc: 0.00%
Epoch [63/100] | Train Loss: 2.2413, Train Acc: 21.10% | Test Loss: 2.2354, Test Acc: 22.94% | Best Acc: 0.00%
Epoch [64/100] | Train Loss: 2.2412, Train Acc: 20.99% | Test Loss: 2.2349, Test Acc: 22.94% | Best Acc: 0.00%
